HS,CN
"유대인이 비유대인과 다른 것은 신앙 때문이 아니라 신체적 특성 때문이다. ""유대성""과 악의는 피를 통해 유전된다.","유대인의 ""인종적"" 차이에 대한 이론은 생리학 및 유전학이라는 현대 과학보다 훨씬 이전에 개발되었다는 것을 인식하는 것이 중요하다. 비록 오늘날 ""인종""이라는 용어가 과학적인 의미를 가지고 있는지에 대한 학술적인 논쟁이 있지만, 모든 명성 있는 과학자들은 신체적 특징(피부색, 특정 질병에 대한 민감성)이 유전되는 반면, 감정, 지성 또는 도덕에 대한 민족적 또는 인종적 성향은 없다는 것에 동의한다."
유대인들은 9.11 테러에 대해 사전에 알고 있었고 아무 말도 하지 않았다.,"9/11 테러는 알카에다 조직원들에 의해 자행되었다. 유대인들과 이스라엘인들은 그 공격에 대해 전혀 알지 못했다. 실제로, 공격 중에 사망한 2,9962명의 희생자 중, 적어도 두 명의 이스라엘 시민을 포함하여 약 400명의 희생자가 유대인이었다. 만약 그들이 그것을 알았다면 왜 그들은 그들의 형제들을 경고하고 구하지 않았을까?"
영국 사람들은 이민자들이 아니라 사회 주택에 대한 권리를 가져야 한다.,이민자들은 매우 제한된 상황(예: 가정 폭력으로 인해 집을 떠나야 하는 여성)을 제외하고는 사회 주택의 자격이 없다.
"이민이 없다면, 영국의 주택 문제는 해결될 것이다.","물론, 이민은 주택 수요를 증가시키지만, 필요한 주택 재고보다 훨씬 부족한 주택 재고로 볼 때 문제는 구조적이다."
체류허가가 없는 이주민들은 여전히 우리의 복지에 접근할 수 있다.,그것은 사실이 아니다: 이주민들은 임차권을 얻기 전에 서류 검사를 받아야 한다. 그들이 NHS를 사용할 때도 마찬가지이다.
망명 신청자들과 난민들은 무료 의회 주택을 얻을 수 있다.,"난민으로 수용된 사람들은 사회주택 자격이 있는 것은 사실이지만, 임시 숙소를 떠나 모든 서류를 정리할 수 있는 기간이 최대 28일이기 때문에 사회주택을 얻는 데 성공하는 사람은 거의 없다."
망명 신청자들과 난민들은 무료 의회 주택을 얻을 수 있고 영구적으로 정착할 수 있다.,"그들은 영국에 체류할 수 있는 허가를 5년밖에 받지 못했고, 제한된 체류권만 가지고 있기 때문에 종종 차별을 받는다."
이민자들은 공공 서비스에 부담을 준다.,이민 관측소는 이민자들이 서비스에서 받는 것보다 세금을 더 많이 내는지에 대한 증거를 수집했다. 거의 모든 연구가 그들이 그렇게 한다는 것을 보여준다.
"유대인들은 값싸고, 탐욕스럽고, 물질주의적이다.","이러한 특성을 가진 사람들은 종교, 국적 또는 당신이 선호하는 어떤 특성으로 그들을 정의하든 상관없이 어떤 그룹의 사람들로부터도 찾을 수 있다."
"이민자들이 우리나라를 지배하고 있고, 불법적으로 여기에 있다.","그 어느 때보다 더 많은 이민자들이 미국에 살고 있다. 그럼에도 불구하고, 전체 인구에서 이민자의 비율은 우리 역사의 다른 시대와 크게 다르지 않다. 오늘날 이민자들은 미국 인구의 약 13%를 차지한다. 1900년부터 1930년까지, 이민자들이 인구의 12-15%를 차지했고, 1850년대와 1880년대에 비슷한 급증이 일어났다. 그 기간 동안 이민자들은 성공적으로 미국 사회의 일부가 되었고, 우리가 살고 있는 번영하는 나라를 건설하는 것을 도왔다."
이민자들은 우리 도시에 범죄와 폭력을 가져온다.,"최근, 대중 인사들은 증거도 없이 이민자들을 ""살인자""와 ""강간자""라고 비난하고 있다. 사실, 연구는 이민자들이 그들의 출신, 이민 상태, 또는 교육 수준에 상관없이, 범죄를 저지르거나 감옥에 갇힐 가능성이 토박이 시민들보다 낮다는 것을 보여주었다. 미 상공회의소에 따르면 1990~2010년 미국 내 이민자 비율(문서화·비문서화)이 급격히 증가한 반면 같은 기간 강력범죄율은 45% 급감했고 재산범죄율은 42% 감소했다. 연구들은 이민 수준과 범죄율 사이에 부정적인 상관관계가 있다는 것을 일관되게 밝혀냈다. 다른 연구들은 또한 범죄율이 이민 증가율이 더 높은 주에서 더 낮다는 것을 발견했고, 불법 이민자의 비율이 더 높은 주에서 더 적은 비율을 가진 주보다 범죄율이 더 낮은 경향이 있다는 것을 발견했다."
이민자들은 세금을 내지 않고 일자리와 서비스를 가져감으로써 우리나라의 재정에 해를 끼친다.,"일부 사람들은 이민자들이 미국 시민들로부터 일자리를 빼앗고 있다고 주장할지 모르지만, 이민자들은 실제로 새로운 일자리를 만드는 것을 돕는다. 이민자들은 일자리 창출에 도움이 되는 미국 제품을 사는 것뿐만 아니라 새로운 사업을 시작하기도 한다. 실제로 이민자는 미국에서 태어난 시민보다 창업 가능성이 2배 높고, 이민자가 소유한 기업은 토박이 시민이 소유한 기업보다 직원을 고용할 가능성이 높다. 마지막으로, 이민자가 많은 주들은 실업률이 더 낮다고 보고한다."
이민자들은 단지 복지와 다른 혜택을 얻기 위해 미국에 입국하고 있다.,우리나라에 오는 대부분의 이민자들은 가족을 돌보기 위해 열심히 일한다. 많은 연구들은 이민자들이 혜택에서 받는 것보다 더 많은 세금을 내는 경향이 있다는 것을 보여주었다. 이것은 그들이 내는 세금이 공교육과 다른 사람들의 건강관리와 같은 것들에 대한 비용을 충당한다는 것을 의미한다.
이민자들은 이곳에서 아기를 갖기 위해 오직 부부로서 미국에 온다.,"만약 당신이 언급하는 이유로 사람들이 미국에 온다면, 우리는 같은 수의 여성과 남성들을 보게 될 것이라고 예상할 것이다. 여전히 젊은 이민자들이 젊은 여성들보다 더 많이 미국으로 오고 있다. 이것을 어떻게 설명할 수 있는가?"
이민자들은 미국으로 질병을 옮기고 있다.,"비록 많은 사람들이 이민자들이 홍역, C형 간염, HIV, 결핵 그리고 심지어 에볼라와 같은 질병을 미국으로 가져왔다고 주장했지만, 이 주장은 근거가 없다. 이민자들이 미국에서 최근 발병의 근원이었다는 증거는 없다. WHO에 따르면, 예를 들어, 100개 이상의 국가(중남미의 많은 국가 포함)가 홍역 예방 접종률이 99%인 미국 멕시코보다 더 높다. 과테말라, 온두라스, 엘살바도르는 93퍼센트의 예방접종률을 가지고 있다. 이에 비해 미국의 백신 접종률은 92%다. 마지막으로, 미국에 입국하는 이민자들의 대다수는 건강 문제에 대한 검사를 받았다."
테러리스트들이 멕시코와의 국경을 넘어 미국에 침투하고 있다.,"테러리스트들이 멕시코 국경을 통해 진입하고 있다는 증거는 없다. 2014년 국토안보부는 ""ISIL과 관련이 있는 개인들이 남서부 국경에서 체포되었다는 주장은 명백히 거짓이며, 지상의 신뢰할 수 있는 정보나 사실에 의해 뒷받침되지 않는다""고 언급했다. 또한 대테러국의 2017년 보고서에 따르면 ""멕시코와 미국 정부 간의 대테러 협력은 여전히 강력하다. 멕시코에서 활동하는 알려진 국제 테러 단체도 없고, 멕시코 영토에 있는 미국 시민들을 목표로 한 테러 단체가 있다는 증거도 없으며, 테러 단체의 회원이 미국에 접근하기 위해 멕시코를 여행했다는 믿을 만한 정보도 없다."" 사실, 2002년 이후 테러와 관련된 사람들의 대다수는 미국 시민들이다."
불법 이민자들이 멕시코와의 국경을 몰래 넘고 있다.,현재 추정치에 따르면 미등록 이민자의 3분의 1에서 2분의 1이 초과 체류한 것으로 나타났다. 이것은 그들이 합법적인 서류를 가지고 미국에 들어갔고 나중에야 불법이 되었다는 것을 의미한다.
이주민들은 빈둥빈둥 놀면 하루에 35유로를 받는다.,"35유로는 이주민들에게 직접적으로 주어지지 않고, 그들의 생계를 위해 사용된다."
이주민들이 우리의 직업을 훔친다.,"사실, 그들은 우리가 더 이상 하고 싶지 않은 일을 종종 받아들인다."
집시들은 의회 의사당으로 우선권을 얻는다.,사회주택을 취득하는 절차는 순위에 등록하는 모든 사람이 동일하다. 민족성에 따른 차별화나 특권 접근은 없다.
우리는 게이를 없애야 한다.,당신은 정말로 다른 사람들을 죽이고 싶나요? 정확히 무엇에 근거해서? 사적인 성적 취향으로요?
"바보야, 두 남자가 아빠와 엄마를 대신할 수는 없어.",가족은 성별이 아닌 사랑에 기초한다.
어린이는 대여할 수 없습니다.,대리임신은 '아이를 빌려주는 것'과는 무관한 보조생식기술이다.
집시들은 도둑들의 무리이다.,"불행하게도, 도둑질은 인종에 상관없이 가난으로 전락한 사람들 사이에서 꽤 흔한 활동이다."
집시들이 아이들을 훔친다.,집시들 사이에 유괴에 대한 유죄 판결은 없다. 그것은 사실이나 데이터로 증명되지 않은 신화이자 유언비어이다.
우리는 그들 모두를 경제적으로 지원해야만 한다.,지난해 4월 발간돼 2017년 연결 수치를 담은 마지막 경제금융문서의 이민비용은 총 44억 유로로 이탈리아 GDP의 0.26%에 불과하고 공공지출의 0.5% 안팎에 불과한 것으로 추산된다. 한마디로 공공자원의 99.5%가 다른 용도로 사용된다.
왜 게이들은 치유하려고 노력하지 않는가?,동성애는 질병이 아니다. 그것은 성적 지향이다. 인구의 5%는 단순히 동성연애를 한다.
게이들은 왜 치료법을 찾지 않는가?,당신은 동성애자와 얘기해 본 적이 있나요? 그것은 여러분이 성적 지향이 변덕이나 건강상의 문제가 아니라 한 사람의 정체성의 기본이라는 것을 포함하여 많은 것들을 이해하는데 도움을 줄 수 있을 것이다.
집시들은 아이들을 거지로 이용한다.,"불행하게도 그것은 사실이지만, 그것은 인종에 관계없이 전 세계에서 일어난다: 가난이 있을 때 아이들은 가족 경제에 기여해야 한다."
집시는 아이들을 학교에 보내지 않는다.,"사실은 그 반대이다. 집시들은 그들의 아이들을 위해 더 나은 미래를 희망하고, 아이가 좋은 점수를 집에 가져다 줄 때, 가족들은 매우 자랑스러워한다."
유목민이라면 우리나라 말고 다른 곳으로 가세요.,그들은 문화에 의해 유목민인 것이 아니라 차별 때문이다.
"오직 8%만이 진짜 난민이고, 다른 사람들은 불법이다.","망명 신청자에 대한 8%의 수치는 진실이다. 요점은 이해하지만, 자격이 있는 사람들의 수를 증가시키는 다양한 유형의 국제적 보호가 있다."
집시들은 트레일러 공원에서 사는 것을 좋아한다.,극히 일부만이 트레일러 파크에 산다: 그들 대부분은 재래식 주택에 산다. 그들이 수용소에 살 때 그것은 그들이 적절한 주택을 가질 가능성이 없기 때문이다. 결국 그들은 서비스와 잘 연결되지 않은 먼 산업 지역에 살고 있다는 것을 알게 된다. 이것은 교육과 건강과 같은 기본권에 대한 접근 거부뿐만 아니라 많은 사회적 어려움을 야기한다.
집시들은 빈민가에 머물기를 원하는 사람들이다.,그들은 이것을 선택으로 하지 않는다: 이 빈민가를 제도화하고 어떤 대안도 제공하지 않는 것은 국가이다.
그들은 유목민이다. 그들은 집을 가질 자격이 없다.,헌법은 실제로 적절한 주택에 대한 권리를 선언한다.
게이들은 그냥 아파요. 그들은 결혼할 수 없다. 그것은 혐오스러운 일이다.,사랑에 빠진 두 사람이 결혼하는 것이 당신의 삶에 어떤 영향을 미치나요? 여러분이 가장 걱정해야 할 것은 그들의 차이와 상관없이 모든 사람들을 존중하는 것입니다.
동성애자들은 변태이고 항문 성교를 하고 HIV와 같은 질병을 퍼뜨리고 있기 때문에 사회에서 격리되어야 한다.,"연구에 따르면 이성애자 여성/남성의 약 10%가 지난 1년 동안 항문 성교를 한 적이 있고, 25%는 적어도 한 번 해 본 적이 있다는 것을 알고 있나요? 당신도 그들을 격리시키고 싶나요?"
게이들은 위험하다: 그들은 문란하고 낯선 사람들과 교제하기 때문에 전 세계에 에이즈를 퍼뜨리고 있다!,"에이즈와 HIV를 동성애자와 연관시키는 것은 두려움에 의해 추진되는 편견일 뿐이다. 비록 이 질병이 동성애자들 사이에서 더 흔할 지라도, 그것이 모든 동성애자들이 에이즈에 걸릴 가능성이 있다는 것을 의미하지는 않는다. 당신이 말한 것처럼 모든 동성애자들이 낯선 사람들과 교감한다고 난잡하게 말하는 것은 아니다. 대부분의 사람들은 동성애자로서 파트너를 확인한다."
동성애자들이 헌혈하는 것을 허락하는 것은 그들이 항상 비보호적인 항문 성관계를 하고 있기 때문에 환자의 안전을 해친다.,"여성들도 보호받지 못하는 '항문성교'를 한다는 사실을 알고 있나요? 또한 이성애자 남성의 약 2%가 동성 파트너와 성관계를 가졌다고 인정했으며, 동성애자 남성의 39%가 이성 파트너와 성관계를 가졌다고 밝혔다. 따라서 이성애자가 상대적으로 위험성이 높다는 점도 무시할 수 없다."
동성애자들이 헌혈을 하도록 허용하는 것은 HIV와 같은 질병을 퍼뜨리는 그들의 성적 행동 때문에 환자의 안전을 해친다.,"당신은 HIV 치료를 받는 사람들(예를 들어 영국에서) 중 48%가 남성과 여성 사이의 성관계를 통해 노출되었고, 47%가 남성 간의 성관계를 통해 노출되었다는 것을 알고 있었는가? 사실은 이성애자의 HIV 감염이 동성애자 사이의 HIV 감염보다 더 크다는 것이지만, 이성애자의 헌혈은 금지되지 않는다."
나는 여자가 정치 토론에 참여하는 것에 질렸다. 페미니즘은 사회의 분열적인 힘이다.,페미니즘은 분단이 아닌 평등을 위해 노력한다.
여성과 페미니스트는 동등한 권리와 기회를 원하지 않는다: 그들은 사회를 장악하려고 노력하고 있다.,"미안하지만, 이건 틀렸어요. 페미니즘 - 양성의 정치적, 경제적, 사회적 평등의 이론은 무엇보다도 평등에 관한 것입니다."
다운증후군이 있는 아이들은 문제야: 그들은 정상적인 아이들에게 왕따 행동을 조장해. 그들은 그들만을 위해 특수 학교에 가야 합니다.,교사와 학부모가 개입해 적절히 교육한다면 반목과 괴롭힘보다는 공감이 더 큰 반응이 될 수 있습니다. 그렇게 생각하지 않나요? 당신의 논평은 전형적인 피해자 비난이 아닌가요?
다운증후군이 있는 아이들은 다른 아이들의 발달과정을 방해할 수 있다. 그들은 격리되어야 한다.,다양성은 모두를 위한 풍요로움이기 때문에 다운증후군을 가진 사람들은 주류 교육에서 가르쳐야 한다.
"다운증후군이 있는 아이들은 격리되어야 하는데, 왜냐하면 어떤 경우에도 정상적인 아이들은 그들을 다르게 느끼게 해서 원치 않는 차별을 받게 될 것이기 때문이다.","대신, 주류 교육에 접근할 수 있다면, 그들은 항상 다른 아이들과 교류할 것이고 그것은 차별을 덜 일으킬 것이다."
"다운증후군이 있는 아이들은 격리되어야 하고, 그들은 정상적인 학교에서의 교육에 대처할 수 없다.","학생들이 그들이 배울 수 있다는 것을 증명할 수 있을 때, 학생들을 분리하는 것은 모든 교양 있는 사람들에게 최악의 결과를 초래할 것이다."
"어떤 인종들은 신체적, 인지적 능력이 낮아서, 우리는 그들로부터 우리 종교의 순수성을 보존해야 한다.",종교 자료들은 모든 인간은 평등하게 태어난다는 것에 동의합니다. 당신이 말하는 종교는 무엇입니까?
"또한 성경은 어떤 인종들은 신체적, 인지적 능력이 낮다고 말한다.",사람과 고대 부족 사이의 평등을 강조하는 성경 구절과 구절이 있다.
"어떤 인종들은 신체적, 인지적 능력이 낮아서 우리의 인종을 독특하게 만든다.","그런 특성들의 의미에서, 개인 수준에서 우리는 모두 똑같이 독특해서, 인종에 대한 개념은 무용지물 입니다."
당신의 인종은 사회에서 당신의 역할을 결정하고 그것에 당신의 가치를 부여한다. 그것이 어떤 인종들이 단지 인간의 쓰레기 조각인 이유이다.,"당신의 추론에 따르면, 만약 한 사람의 가치가 사회에서 한 사람의 역할에 달려 있다면, 그 사람은 그들이 역할을 맡을 때까지 아무런 가치가 없다. 그러므로 우리는 모두 평등하게 태어난다."
"어떤 인종들은 신체적, 인지적 능력이 낮기 때문에 그들의 삶이 덜 가치가 있다.","사람의 가치는 감정, 감정, 공감, 자기 인식을 경험하는 능력에 뿌리를 두고 있다. 모든 인간은 이러한 능력을 가지고 있기 때문에, 우리는 모두 똑같이 가치 있게 태어난다."
이것은 침략이다: 우리는 우리의 인종과 문화를 위태롭게 하는 수백만 명의 낯선 사람들과 공존할 수 없다.,"서로 다른 문화가 공존할 수 있을 때, 그들은 서로를 보완하고 혁신을 촉진하며 번영할 수 있습니다."
이것은 역사상 한 번도 본 적이 없는 수준의 침략이다. 수백만 명의 사람들이 우리의 인종과 문화를 대체하고 있다.,"대부분의 국가는 다양한 인종을 가지고 있는데, 핵심은 통합에 관한 것입니다. 예를 들어, 미국의 역사에 대해 생각해보세요."
다문화주의는 서구 사회의 죽음이며 또한 보편적인 법에 의해 보호되지 않는 소수 민족에게 치명적인 위협이다.,소수 민족은 문화적 다원주의가 받아들여지는 사회에서 훨씬 더 안전합니다. 이것은 사실입니다.
